prod_url,img_link,prod_name,prod_price
https://www.glassesshop.com/eyeglasses/fm1405,"https://res.glassesshop.com/products/201910/5da92c7eb9fb3.jpg?im=Resize,width=600,height=300",Toledo,$26.95
https://www.glassesshop.com/eyeglasses/fp1991,"https://res.glassesshop.com/products/202106/60bdd7c30d594.jpg?im=Resize,width=600,height=300",Asheville,$12.95
https://www.glassesshop.com/eyeglasses/fp1972,"https://res.glassesshop.com/products/202106/60bdd9c8ae6b0.jpg?im=Resize,width=600,height=300",Flushing,$12.95
https://www.glassesshop.com/eyeglasses/fp1641,"https://res.glassesshop.com/products/201805/5afe7e758cfc5.jpg?im=Resize,width=600,height=300",Mason,$19.95
https://www.glassesshop.com/eyeglasses/fz1608,"https://res.glassesshop.com/products/202102/602a10c0cfd59.jpg?im=Resize,width=600,height=300",Hedy,$29.95
https://www.glassesshop.com/eyeglasses/sup1074,"https://res.glassesshop.com/products/202103/60457fdbce7bd.jpg?im=Resize,width=600,height=300",Clarence,$9.95
https://www.glassesshop.com/eyeglasses/fm1468,"https://res.glassesshop.com/products/202011/5fa35a38a05d9.jpg?im=Resize,width=600,height=300",Amelia,$34.95
https://www.glassesshop.com/eyeglasses/fm1244,"https://res.glassesshop.com/products/201805/5b05174d38e7e.jpg?im=Resize,width=600,height=300",Burke,$26.95
https://www.glassesshop.com/eyeglasses/fz1320,"https://res.glassesshop.com/products/201906/5cf8ca4eb5fb5.jpg?im=Resize,width=600,height=300",Vogt,$29.95
https://www.glassesshop.com/eyeglasses/fp2024,"https://res.glassesshop.com/products/202106/60bdd7ddbb29d.jpg?im=Resize,width=600,height=300",Joni,$29.95
https://www.glassesshop.com/eyeglasses/fp2319,"https://res.glassesshop.com/products/202309/64ffbf806b97a.jpg?im=Resize,width=600,height=300",Alberta,$9.95
https://www.glassesshop.com/eyeglasses/fp1747,"https://res.glassesshop.com/products/201807/5b5fc22e9933f.jpg?im=Resize,width=600,height=300",Murphy,$39.95
